samplingName,nbSamples,descriptorName,J,Q,pertinenceFunction,birdSearchMode,birdConfidenceLimit,averagePertinence,diversity,nbBirds,nbWithBirds,criterion
Random,10,scalogramStat4,12,3,inverse,single,0.1,13.182730432918584,0.0059826567184741,5,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,20.679616936783308,0.004311696256972,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,36.57049043947037,0.008769191891189,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,51.72653398668881,0.0085731291174563,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,46.421592858931646,0.0083854734559752,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,29.31580115190214,0.0048741320760844,6,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,77.76527823053274,0.0064682265598652,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,40.225467726124,0.005145178604003,8,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,7.178091231235847,0.0050099612294682,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,7.526283143890367,0.0040879757288042,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,21.68244835616097,0.0067592481074256,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,27.307836812737484,0.0074990847286943,6,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,19.60992118643769,0.0036648085667546,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,39.45114732319296,0.0071491787893189,8,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,8.09830356088909,0.0063169519980452,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,9.949395472974892,0.0042517122466717,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,17.934373065805623,0.0,4,5,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,39.89248314957358,0.0077015248195215,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,42.54070387022856,0.0082863629582088,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,31.101839153326534,0.0049654637044482,4,4,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,31.970767550189816,0.0113689266870812,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,25.453242129926103,0.0049239353020892,4,4,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,7.939980635524781,0.004116669598118,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,20.29857068139708,0.0073857503033137,9,10,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,11.34948252800512,0.0059163004696516,4,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,12.243629059366128,0.0053901574320619,3,4,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,14.824544108964956,0.0054607226427097,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,46.03769853251952,0.0073708845888468,8,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,28.92659629438221,0.0048539008363338,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,31.59260377040217,0.0089848495208684,7,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,24.22089106934296,0.0068187974856542,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,44.99452756646794,0.0031483388684396,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,39.743046294542616,0.0038755341543801,5,5,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,39.44260635578738,0.0063391571764585,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,22.22230155809199,0.0124787020257109,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,49.24720408336421,0.0066712638088895,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,12.960487521844849,0.0048609697910911,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,1.6049868299689511,0.003827050714467,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,11.430265760120744,0.0111025385634684,8,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,36.48478046261996,0.0098887335667463,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,21.5481153326008,0.0119061922830911,5,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,49.09255938128732,0.0103276396207717,6,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,20.52417912908257,0.0072958318352102,4,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,22.791059293223363,0.007490399305023,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,12.598919830006958,0.0066468623977478,8,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,19.49416361838034,0.0080815075998956,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,19.8209418250579,0.009501205185926,4,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,12.446022637651732,0.009089783375137,5,5,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,34.50625381624016,0.0047064715325295,3,5,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,20.6090612104451,0.0072174822363992,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,31.378201338692303,0.006180212721645,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,9.101643065734342,0.0082427398005145,9,10,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,58.005909669178,0.0037801487381736,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,4.569430204438925,0.0072599061895994,10,10,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,48.914936327673686,0.0107037843648266,6,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,33.61748335596898,0.0075370021318286,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,53.34012884022568,0.0085427389597706,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,32.48594931720828,0.008143352250213,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,8.699017510667018,0.0134727657325713,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,41.696156429016895,0.0073121878646583,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,2.2750999307976527,0.0029653915462602,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,29.03725572822344,0.0070288223025109,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,11.229790059125843,0.0047523923951869,4,5,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,19.33882063864309,0.0078847789769642,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,42.788955185928046,0.006644340326871,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,6.3589381903547295,0.0048580755929844,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,7.592739663345455,0.0049325642541613,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,61.97959264771428,0.0054353019581116,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,7.760353363967279,0.0039104139935844,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,3.7592751624997134,0.0053507039030869,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,37.53425010692935,0.0059875696402876,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,19.88192818418257,0.005956962015119,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,53.604140151435296,0.0119475416060475,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,34.16001680962482,0.0076258599784733,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,9.241353362509551,0.0077512687929286,3,3,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,51.28992077445933,0.0099123130914841,5,5,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,47.89795331400517,0.009348876103841,8,10,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,18.61525802863321,0.0032038772601516,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,14.972358264042011,0.0094234791794985,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,25.39435916497802,0.0051866735996463,8,9,0.0
